emotion_type,syc_mean,syc_std,count,therapeutic
pain,0.289,0.232,9,0.333
jealousy,0.193,0.164,14,0.314
anger,0.185,0.199,827,0.32
disgust,0.185,0.187,326,0.293
nervousness,0.167,0.184,63,0.302
sadness,0.162,0.168,2413,0.31
anxiety,0.155,0.154,2680,0.316
shame,0.154,0.161,256,0.322
fear,0.154,0.16,764,0.29
depression,0.151,0.163,2644,0.312
guilt,0.133,0.1,9,0.222
